识别种类	实际种类
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
 20		5	5ZN_86_down_trans_G.txt
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5

正确识别数：	255
总数为：	256
准确率为：	0.996094
