识别种类	实际种类
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
100		10	10ZN_80_up_trans_G.txt
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
100		10	10ZN_96_up_trans_G.txt
100		10	10ZN_97_up_trans_G.txt
 10		10
100		10	10ZN_99_up_trans_G.txt
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
100		5	5ZN_78_up_trans_G.txt
  5		5
  5		5
  5		5
  5		5
  5		5
100		5	5ZN_82_down_trans_G.txt
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
 20		5	5ZN_86_down_trans_G.txt
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
100		5	5ZN_97_up_trans_G.txt
  5		5
  5		5
  5		5
  5		5

正确识别数：	248
总数为：	256
准确率为：	0.968750
