识别种类	实际种类
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5

正确识别数：	331
总数为：	331
准确率为：	1.000000
