识别种类	实际种类
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
 50		100	100ZY_80_down_trans_G.txt
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 50		10	10ZY_120_down_trans_G.txt
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 50		10	10ZY_160_down_trans_G.txt
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
 50		5	5ZY_80_up_trans_G.txt
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5

正确识别数：	327
总数为：	331
准确率为：	0.987915
