识别种类	实际种类
 20		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 20		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
100		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
100		50
 50		50
 50		50
 50		50
100		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
100		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 10		50
 50		50
100		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
100		50
 50		50
100		50
 50		50
 50		50
 50		50
100		50
 50		50
 50		50
 50		50
 50		50
 10		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
100		50
 50		50
 50		50

正确识别数：	165
总数为：	178
准确率为：	0.927
