识别种类	实际种类
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FN		100FN
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100FY		100FY
100ZN		100ZN
100ZN		100ZN
100ZN		100ZN
100ZN		100ZN
100ZN		100ZN
100ZN		100ZN
100ZN		100ZN
100ZN		100ZN
100ZN		100ZN
100ZN		100ZN
100ZN		100ZN
100ZN		100ZN
100ZN		100ZN
100ZN		100ZN
100ZN		100ZN
100ZN		100ZN
100ZN		100ZN
100ZN		100ZN
100ZN		100ZN
100ZN		100ZN
100ZN		100ZN
100ZN		100ZN
100ZN		100ZN
100ZN		100ZN
100ZN		100ZN
100ZN		100ZN
100ZN		100ZN
100ZN		100ZN
100ZN		100ZN
100ZN		100ZN
100ZN		100ZN
100ZN		100ZN
100ZN		100ZN
100ZN		100ZN
100ZN		100ZN
100ZN		100ZN
