RMB1	RMB2	特征参数     最小位置	相交面积
5	10	能量		71	0.0046161788
		熵值		70	0.0037792476
		对比度		112	0.0181886363
		逆差矩		112	0.0051035734
		相关性		92	0.0012348815
5	20	能量		92	0.0019373218
		熵值		111	0.0081822054
		对比度		90	0.0034670896
		逆差矩		90	0.0012372067
		相关性		53	0.0111272351
5	50	能量		90	0.0030935053
		熵值		90	0.0010170217
		对比度		22	0.0294504756
		逆差矩		22	0.0138857776
		相关性		56	0.0383163285
5	100	能量		138	0.0008183965
		熵值		70	0.0013014987
		对比度		59	0.0434658178
		逆差矩		137	0.0116811307
		相关性		42	0.0305104421
10	20	能量		92	0.0013609084
		熵值		92	0.0014102872
		对比度		108	0.0295777108
		逆差矩		108	0.0103704322
		相关性		92	0.0048341800
10	50	能量		109	0.0014156850
		熵值		109	0.0000000000
		对比度		78	0.0401497173
		逆差矩		99	0.0152567513
		相关性		92	0.0096683600
10	100	能量		24	0.0128823270
		熵值		138	0.0149439218
		对比度		58	0.0300840244
		逆差矩		57	0.0157712038
		相关性		92	0.0275270198
20	50	能量		76	0.0147697503
		熵值		99	0.0335463080
		对比度		90	0.0331428137
		逆差矩		90	0.0155386579
		相关性		71	0.0723297796
20	100	能量		138	0.0019103438
		熵值		138	0.0033125947
		对比度		138	0.0349480035
		逆差矩		138	0.0112258799
		相关性		38	0.0673307657
50	100	能量		138	0.0047864956
		熵值		138	0.0074289073
		对比度		158	0.0510325745
		逆差矩		137	0.0225757997
		相关性		137	0.0516182726
