识别种类	实际种类
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
 10		100	100ZN_74_up_trans_G.txt
100		100
100		100
100		100
100		100
100		100
100		100
100		100
 10		100	100ZN_78_up_trans_G.txt
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
100		100
 10		10
 10		10
 10		10
100		10	10ZN_74_up_trans_G.txt
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
 10		10
100		10	10ZN_95_up_trans_G.txt
 10		10
 10		10
 10		10
 10		10
 20		20
 20		20
100		20	20ZN_102_down_trans_G.txt
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
100		20	20ZN_78_down_trans_G.txt
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
100		20	20ZN_83_down_trans_G.txt
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
 20		20
100		20	20ZN_93_down_trans_G.txt
 20		20
100		20	20ZN_94_down_trans_G.txt
 20		20
 20		20
 20		20
100		20	20ZN_96_down_trans_G.txt
 20		20
 20		20
 20		20
 20		20
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
 50		50
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
100		5	5ZN_82_down_trans_G.txt
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
  5		5
100		5	5ZN_97_up_trans_G.txt
  5		5
  5		5
  5		5
  5		5

正确识别数：	244
总数为：	256
准确率为：	0.953125
